Strategy,CAGR,Ann Vol,Sharpe,Avg Equity,Max DD,Final $
BENCHMARK,5.89%,19.36%,0.290,100.0%,-61.64%,5.62
STATIC,4.42%,9.66%,0.290,50.0%,-35.11%,3.69
CASHFLOW,6.20%,13.84%,0.360,57.8%,-34.51%,6.14
EXTRAP,3.45%,8.33%,0.210,44.6%,-33.76%,2.78
STMR,4.81%,10.38%,0.312,50.1%,-35.02%,4.12
MOMENTUM,4.52%,8.75%,0.321,50.1%,-28.27%,3.79
VALMO,6.64%,12.04%,0.429,60.5%,-27.26%,6.95
