Date,RF_Monthly,TB3MS
1919-11-30,0.002808702742638003,3.4229999999999996
1919-12-31,0.002831324371060706,3.450999999999999
1920-01-31,0.002853940387649745,3.4789999999999996
1920-02-29,0.002859593515289083,3.486
1920-03-31,0.002865246292416357,3.4929999999999994
1920-04-30,0.002870898719076642,3.4999999999999996
1920-05-31,0.002876550795315458,3.5069999999999997
1920-06-30,0.002882202521178545,3.513999999999999
1920-07-31,0.002887853896710979,3.521
1920-08-31,0.0028935049219582787,3.528
1920-09-30,0.002899155596965741,3.5349999999999993
1920-01-31,0.0029048059217788857,3.542
1920-11-30,0.0029104558964430094,3.549
1920-12-31,0.0029161055210034093,3.5559999999999996
1921-01-31,0.0029217547955056045,3.5629999999999997
1921-02-28,0.002882202521178545,3.513999999999999
1921-03-31,0.002848286909452602,3.4719999999999995
1921-04-30,0.002808702742638003,3.4229999999999996
1921-05-31,0.0027747597714447014,3.381
1921-06-30,0.0027351436583249455,3.3319999999999994
1921-07-31,0.0027011732814758993,3.29
1921-08-31,0.00266152516809548,3.241
1921-09-30,0.0026218598014082772,3.1919999999999997
1921-01-31,0.002587847171547919,3.15
1921-11-30,0.0025481497213200033,3.1009999999999995
1921-12-31,0.002514109568022116,3.0589999999999997
1922-01-31,0.0024743799799444854,3.0099999999999993
1922-02-28,0.0024800566958853576,3.017
1922-03-31,0.0024800566958853576,3.017
1922-04-30,0.0024857330582492843,3.024
1922-05-31,0.0024857330582492843,3.024
1922-06-30,0.0024914090670820066,3.0309999999999997
1922-07-31,0.0024914090670820066,3.0309999999999997
1922-08-31,0.002497084722429488,3.038
1922-09-30,0.002497084722429488,3.038
1922-01-31,0.0025027600243381354,3.0449999999999995
1922-11-30,0.0025027600243381354,3.0449999999999995
1922-12-31,0.0025084349728536903,3.052
1923-01-31,0.0025084349728536903,3.052
1923-02-28,0.002497084722429488,3.038
1923-03-31,0.0024800566958853576,3.017
1923-04-30,0.0024687029103802605,3.0029999999999997
1923-05-31,0.002451669579487614,2.9819999999999998
1923-06-30,0.0024403122565983537,2.968
1923-07-31,0.002423273617900845,2.9469999999999996
1923-08-31,0.0024119127553223763,2.9330000000000003
1923-09-30,0.0023948688053607725,2.9119999999999995
1923-01-31,0.0023835044007856077,2.8979999999999997
1923-11-30,0.002366455136096901,2.8770000000000002
1923-12-31,0.0023550871872151102,2.8629999999999995
1924-01-31,0.0023380326043331845,2.8419999999999996
1924-02-29,0.0023266611088326172,2.8279999999999994
1924-03-31,0.0023209748288697263,2.8209999999999997
1924-04-30,0.0023096012042873593,2.8069999999999995
1924-05-31,0.0022982261598538667,2.793
1924-06-30,0.0022925381050773463,2.786
1924-07-31,0.002281160930172277,2.7719999999999994
1924-08-31,0.0022697823344890455,2.7579999999999996
1924-09-30,0.002264092503740045,2.751
1924-01-31,0.0022527117761941273,2.7369999999999997
1924-11-30,0.0022413296269425675,2.723
1924-12-31,0.002235638019061126,2.716
1925-01-31,0.002224253736554216,2.7019999999999995
1925-02-28,0.002218561061836155,2.695
1925-03-31,0.002207174645238119,2.681
1925-04-30,0.0022014809032651073,2.6739999999999995
1925-05-31,0.002190092351739059,2.6599999999999997
1925-06-30,0.002184397542092764,2.653
1925-07-31,0.0021730068548015957,2.639
1925-08-31,0.0021673109770634635,2.6319999999999997
1925-09-30,0.0021559181531694005,2.6180000000000003
1925-01-31,0.002150221206920433,2.6109999999999998
1925-11-30,0.002138826245585257,2.597
1925-12-31,0.0021331282304062338,2.5900000000000003
1926-01-31,0.0021217311307917264,2.5759999999999996
1926-02-28,0.002104632807529594,2.5549999999999997
1926-03-31,0.0020875312745398666,2.5340000000000003
1926-04-30,0.0020761284687424997,2.52
1926-05-31,0.0020590215834062064,2.4989999999999997
1926-06-30,0.002041911484980341,2.478
1926-07-31,0.00202479817220258,2.457
1926-08-31,0.0020076816438103773,2.4359999999999995
1926-09-30,0.0019905618985398554,2.415
1926-01-31,0.0019791469472474343,2.401
1926-11-30,0.0019620218377029985,2.3800000000000003
1926-12-31,0.001944893507907386,2.359
1927-01-31,0.001927761956593388,2.3379999999999996
1927-02-28,0.001927761956593388,2.3379999999999996
1927-03-31,0.001927761956593388,2.3379999999999996
1927-04-30,0.001927761956593388,2.3379999999999996
1927-05-31,0.001927761956593388,2.3379999999999996
1927-06-30,0.001927761956593388,2.3379999999999996
1927-07-31,0.001927761956593388,2.3379999999999996
1927-08-31,0.0019220507233770334,2.331
1927-09-30,0.0019220507233770334,2.331
1927-01-31,0.0019220507233770334,2.331
1927-11-30,0.0019220507233770334,2.331
1927-12-31,0.0019220507233770334,2.331
1928-01-31,0.0019220507233770334,2.331
1928-02-29,0.0019334728317226269,2.3449999999999998
1928-03-31,0.0019506033090563868,2.3659999999999997
1928-04-30,0.0019620218377029985,2.3800000000000003
1928-05-31,0.0019734389351269144,2.394
1928-06-30,0.0019848546017027235,2.408
1928-07-31,0.002001975419546831,2.429
1928-08-31,0.00201338751064295,2.443
1928-09-30,0.00202479817220258,2.457
1928-01-31,0.00203620740460031,2.4709999999999996
1928-11-30,0.002053318574336549,2.492
1928-12-31,0.002064724235466109,2.506
1929-01-31,0.0020761284687424997,2.52
1929-02-28,0.0020590215834062064,2.4989999999999997
1929-03-31,0.002047615208210063,2.485
1929-04-30,0.00203050296702334,2.464
1929-05-31,0.0020190930200914003,2.45
1929-06-30,0.002001975419546831,2.429
1929-07-31,0.0019905618985398554,2.415
1929-08-31,0.0019734389351269144,2.394
1929-09-30,0.001956312752306122,2.3729999999999998
1929-01-31,0.001944893507907386,2.359
1929-11-30,0.001927761956593388,2.3379999999999996
1929-12-31,0.001916339132026268,2.324
1930-01-31,0.0018992022086996574,2.303
1930-02-28,0.0018992022086996574,2.303
1930-03-31,0.0019049148747345424,2.31
1930-04-30,0.0019049148747345424,2.31
1930-05-31,0.001910627182494462,2.3169999999999997
1930-06-30,0.001910627182494462,2.3169999999999997
1930-07-31,0.001916339132026268,2.324
1930-08-31,0.001916339132026268,2.324
1930-09-30,0.001916339132026268,2.324
